ident,icao_id,name,servcity,state,lat,lon,elevation,n_runways,longest_runway_ft,n_runways_over_7000ft,global_id
ORD,KORD,Chicago O'Hare Intl,CHICAGO,IL,41.97694027777778,-87.90814972222223,680.0,10,13000,8,8719978B-8B62-4688-A0AE-46450A687C68
DPA,KDPA,Dupage,CHICAGO/WEST CHICAGO,IL,41.90705305555555,-88.247995,758.5,4,7571,1,2FD31A12-EF68-4339-891A-D84B47A5EE7B
MLI,KMLI,Quad Cities Intl,MOLINE,IL,41.448209166666665,-90.50777,589.6,3,10002,2,413B1178-4CFC-4AA2-B52D-CEF36AC19A52
MWA,KMWA,Veterans Airport of Southern Illinois,MARION,IL,37.75497222222222,-89.01108333333333,471.7,2,8012,1,E2CA9718-198E-46CA-AFC6-6F7FC3ADC0C3
PIA,KPIA,General Downing - Peoria Intl,PEORIA,IL,40.66419444444444,-89.69325,660.7,2,10104,2,1CF7743F-9F99-4B58-9BFC-2288599CCE22
UIN,KUIN,Quincy Rgnl-Baldwin Fld,QUINCY,IL,39.942275277777775,-91.19240444444445,768.7,2,7098,1,BFDECD82-DC86-447F-8BA3-529353FFDF0A
RFD,KRFD,Chicago/Rockford Intl,CHICAGO/ROCKFORD,IL,42.195361111111104,-89.09722222222221,742.0,2,10002,2,C10C1042-F3BA-4256-9ACE-92D1AB50B484
SPI,KSPI,Abraham Lincoln Capital,SPRINGFIELD,IL,39.844611111111114,-89.67755555555556,597.9,2,8001,2,F681891C-822F-4167-B698-F83A2F3D682C
GYY,KGYY,Gary/Chicago Intl,GARY/CHICAGO,IN,41.61725,-87.41452777777778,596.8,2,8859,1,822CA6A6-68CC-4AC1-9F5F-CDBD52B29274
GWB,KGWB,Auburn/Dekalb Exec,AUBURN,IN,41.307197499999994,-85.06051694444444,880.4,1,7106,1,269FCF4A-C3DF-4590-A144-E636AFE1CDA1
EVV,KEVV,Evansville Rgnl,EVANSVILLE,IN,38.04080416666667,-87.52849361111112,421.7,3,8021,1,08CAA829-1226-4BEE-80A6-556DAF006632
FWA,KFWA,Fort Wayne Intl,FORT WAYNE,IN,40.97847222222222,-85.19516666666667,814.5,3,11981,2,9FF1EDE6-09C5-44D7-A431-8C65512C9CDE
64I,,Lee Bottom,HANOVER,IN,38.63144166666667,-85.44341944444444,473.0,2,15000,1,9A53FA18-07AF-4E42-BE80-A3E16275026D
IND,KIND,Indianapolis Intl,INDIANAPOLIS,IN,39.717305555555555,-86.29463888888888,796.2,3,11200,3,43A597CD-D50E-4E3E-8D00-C6FEFAC5D498
JVY,KJVY,Clark Rgnl,JEFFERSONVILLE,IN,38.366618333333335,-85.73814472222222,477.7,2,7000,1,4CB9900A-ADA7-4A8F-A3A1-F102C1003524
TYQ,KTYQ,Indianapolis Exec,INDIANAPOLIS,IN,40.02860944444444,-86.25140555555555,922.2,1,7001,1,676A3E0E-1DDA-4CC6-BFC1-3718CD96F1BF
GUS,KGUS,Grissom ARB,PERU,IN,40.648091666666666,-86.15211944444445,810.6,1,12501,1,21B35309-5E82-43BE-914A-416C15DB2EA1
SBN,KSBN,South Bend Intl,SOUTH BEND,IN,41.708223888888895,-86.3173375,798.4,3,8412,2,B5101053-1881-4E9C-A579-A6B90597B8BA
VPZ,KVPZ,Porter County Rgnl,VALPARAISO,IN,41.45397222222223,-87.00708333333333,770.3,2,7001,1,51E8EB9E-4D82-4273-8396-911C86C51A1E
HUF,KHUF,Terre Haute Rgnl,TERRE HAUTE,IN,39.450631944444446,-87.30699,589.2,2,9021,2,4D81EA0E-488A-4400-940A-E7EE44FD8F27
GBD,KGBD,Great Bend Muni,GREAT BEND,KS,38.34425138888889,-98.85919694444443,1886.7,2,7852,1,0345A202-CE72-4D4A-8823-46772134ADBB
MHK,KMHK,Manhattan Rgnl,MANHATTAN,KS,39.141416666666665,-96.67155555555556,1066.1,2,7400,1,3F575102-D33C-46BF-9182-291BC14C9C27
EWK,KEWK,Newton-City-County,NEWTON,KS,38.05710138888889,-97.27522833333333,1533.5,2,7003,1,8164FF07-4ADD-4595-930D-0106855A5F4D
SLN,KSLN,Salina Rgnl,SALINA,KS,38.79061111111111,-97.65222222222222,1288.0,10,12301,1,F9B66878-4196-4BCE-AF0D-23A0CE485B74
GCK,KGCK,Garden City Rgnl,GARDEN CITY,KS,37.927527777777776,-100.72441666666667,2890.8,2,7299,1,BA654E8B-8EE2-4FD4-ADD8-A0603D330B02
HUT,KHUT,Hutchinson Rgnl,HUTCHINSON,KS,38.06615472222222,-97.86048972222221,1542.5,3,7003,1,34BDDE9F-5AE5-4550-81D1-0B684A0C5318
LBL,KLBL,Liberal Mid-America Rgnl,LIBERAL,KS,37.04392111111111,-100.95996861111111,2885.4,2,7105,1,9AE1DF70-3B23-42E2-80CC-3A0A69DE52CD
IXD,KIXD,New Century Aircenter,OLATHE,KS,38.83091666666667,-94.89030555555556,1087.3,2,7339,1,DA2D360F-90F9-45A1-A13B-DB15B3839E99
BEC,KBEC,Beech Factory,WICHITA,KS,37.69391666666667,-97.21491666666667,1408.6,1,8001,1,E164BD1C-F411-45C3-AB46-5F2833AEAC37
CVG,KCVG,Cincinnati/Northern Kentucky Intl,COVINGTON,KY,39.0488375,-84.66782083333334,896.1,4,12001,4,E24E4D4D-6EA0-48A5-9653-1A4682B98703
LEX,KLEX,Blue Grass,LEXINGTON,KY,38.036741666666664,-84.60861722222222,979.5,2,7004,1,239C75CA-59CB-4AEC-A8E4-83E032DA0F0A
FOE,KFOE,Topeka Rgnl,TOPEKA,KS,38.95094916666667,-95.66361361111112,1077.9,2,12803,2,286FF7F9-01EB-442C-B6DE-92618A8099C6
ICT,KICT,Wichita Dwight D Eisenhower Ntl,WICHITA,KS,37.6499525,-97.43304277777779,1332.6,3,10302,2,85787B73-7828-40DE-A3D7-1B3CBD791AE7
SDF,KSDF,Louisville Muhammad Ali Intl,LOUISVILLE,KY,38.174085,-85.73649361111111,500.8,3,11887,3,204F6D07-124E-47C9-B15A-2C156D485189
OWB,KOWB,Owensboro/Daviess County Rgnl,OWENSBORO,KY,37.73883416666667,-87.16682855555555,407.3,2,8000,1,88AA56FD-2F73-4BF0-832E-353DC78F9F07
AEX,KAEX,Alexandria Intl,ALEXANDRIA,LA,31.327371666666668,-92.54855583333332,88.1,2,9352,2,38760AF2-946B-4B69-A8A5-88FB2951EE58
BTR,KBTR,"Baton Rouge Metro, Ryan Fld",BATON ROUGE,LA,30.532916666666665,-91.1498888888889,69.7,3,7500,2,0158F8BE-01B1-489E-88E9-9310332EE29C
MLU,KMLU,Monroe Rgnl,MONROE,LA,32.510555833333335,-92.03613361111111,78.9,2,7504,1,FA730C24-7316-4C83-8A18-B71FB347B450
LFT,KLFT,Lafayette Rgnl/Paul Fournet Fld,LAFAYETTE,LA,30.205026666666665,-91.98775388888889,40.9,3,8000,1,3F3FBF9E-C5A3-48B1-AA94-E838DAB52BF7
CWF,KCWF,Chennault Intl,LAKE CHARLES,LA,30.210586944444444,-93.14318916666667,16.5,1,10702,1,575E7122-16B3-4DD7-A580-9F34DC24BF20
ARA,KARA,Acadiana Rgnl,NEW IBERIA,LA,30.037758333333336,-91.88389611111111,24.0,3,8002,1,E1601EF7-794C-43AB-858D-13FF39798412
MSY,KMSY,Louis Armstrong New Orleans Intl,NEW ORLEANS,LA,29.993272222222224,-90.2590275,3.0,4,10104,2,E00678C2-CCFF-4487-A28D-B0B2C345498B
BOS,KBOS,General Edward Lawrence Logan Intl,BOSTON,MA,42.362944444444445,-71.00638888888889,19.1,6,10083,4,8A175D7D-C058-4D14-A55F-D354936393D2
SHV,KSHV,Shreveport Rgnl,SHREVEPORT,LA,32.44651527777778,-93.82603999999999,257.6,2,8348,2,58F98999-5CAA-4F8B-BB7B-9707547EE1CF
BED,KBED,Laurence G Hanscom Fld,BEDFORD,MA,42.469944444444444,-71.289,132.0,2,7011,1,94306471-AC0B-4AF5-A2FF-39CDF67DA95F
ORH,KORH,Worcester Rgnl,WORCESTER,MA,42.26713888888889,-71.8756111111111,1009.0,2,7001,1,518881FD-886B-407F-BEF1-E199641186ED
BWI,KBWI,Baltimore/Washington Intl Thurgood Marshall,BALTIMORE,MD,39.17572833333333,-76.66899111111111,143.4,3,10503,2,751671DD-2768-454F-AA80-2567DB9933FE
CEF,KCEF,Westover Arb/Metro,SPRINGFIELD/CHICOPEE,MA,42.19401555555555,-72.53478666666666,241.1,2,11597,2,DC020F82-46D0-4B38-96C0-DEF5A487D10F
BAF,KBAF,Westfield-Barnes Rgnl,WESTFIELD/SPRINGFIELD,MA,42.157944444444446,-72.71586111111111,270.0,2,9000,1,CFEC2A70-73C8-4FEB-8F8F-4DFD48E7F569
BGR,KBGR,Bangor Intl,BANGOR,ME,44.80744444444444,-68.82813888888889,192.1,2,11440,1,B6826659-BE6B-481B-AD3F-6D62F0B6E864
HGR,KHGR,Hagerstown Rgnl/Richard A Henson Fld,HAGERSTOWN,MD,39.7085,-77.7265,703.1,2,7000,1,115D0A1D-2B3E-4C86-8258-A048A21DF8C1
BXM,KBXM,Brunswick Exec,BRUNSWICK,ME,43.89235511111111,-69.93882969444445,74.7,2,8000,2,2D357EEC-2973-455F-8660-9408D20C70F6
OLD,KOLD,Dewitt Fld/Old Town Muni,OLD TOWN,ME,44.952335000000005,-68.67449555555557,126.5,3,8400,1,AE084322-0758-45C6-8B9B-2D976C207792
BTL,KBTL,Battle Creek Exec At Kellogg Fld,BATTLE CREEK,MI,42.30647388888889,-85.25008944444444,951.6,3,10004,1,DB1FA536-4CB4-4FFC-9353-9C288A777F3C
PWM,KPWM,Portland Intl Jetport,PORTLAND,ME,43.6456435,-70.3086163611111,75.7,2,7200,1,8EF6F556-3F93-48D4-887C-4E3BA7B478FF
PQI,KPQI,Presque Isle Intl,PRESQUE ISLE,ME,46.688963888888885,-68.04479138888888,534.0,2,7441,1,FDDA0606-6666-4A4A-A43B-74CE11B18EA4
APN,KAPN,Alpena County Rgnl,ALPENA,MI,45.07808333333334,-83.56030555555556,689.5,2,9001,1,7D46BE9D-70A6-480D-A60F-352FDB1260BA
DTW,KDTW,Detroit Metro Wayne County,DETROIT,MI,42.212431111111115,-83.35339333333333,645.2,7,12003,6,90EDCD5B-D722-42A8-9139-35812BECEF2E
YIP,KYIP,Willow Run,DETROIT,MI,42.24027388888889,-83.53146111111111,715.9,2,7543,1,312987BF-72BB-4B37-95A8-EED7D4E9A228
FNT,KFNT,Bishop Intl,FLINT,MI,42.96546388888889,-83.74473805555556,782.1,2,7852,2,2DAAC1B6-0A16-4A98-8ED4-9393355D5079
GRR,KGRR,Gerald R Ford Intl,GRAND RAPIDS,MI,42.880833333333335,-85.52280555555555,793.6,3,10001,2,1DC2A49E-C655-4221-AD7C-D4D53BBF138C
LAN,KLAN,Capital Region Intl,LANSING,MI,42.7786475,-84.58620555555555,860.5,3,8506,1,AFB733D2-25F1-4562-99DF-A6EC1780B2FD
SAW,KSAW,Marquette/Sawyer Rgnl,MARQUETTE,MI,46.349158333333335,-87.39637166666667,1204.5,1,9072,1,431B5B5A-B1D4-4A26-9A02-A5B82A41906D
MBS,KMBS,Mbs Intl,SAGINAW,MI,43.53292694444444,-84.07963583333333,668.3,2,8002,1,0F02ADF7-EE8E-40A5-8FE7-6B31740C4B15
BJI,KBJI,Bemidji Rgnl,BEMIDJI,MN,47.51072222222222,-94.93472222222222,1391.4,2,7004,1,75F409C0-5F92-4DA6-AB4E-60ADA4267E27
BRD,KBRD,Brainerd Lakes Rgnl,BRAINERD,MN,46.404222222222224,-94.13380555555557,1232.2,3,7100,1,DB31314B-39E6-44D9-BE58-7DB58F073B93
OSC,KOSC,Oscoda/Wurtsmith,OSCODA,MI,44.45152388888889,-83.39416472222223,633.0,1,11801,1,538C99B9-30BE-4E0F-8F4F-DEEB768CFC51
CIU,KCIU,Chippewa County Intl,SAULT STE MARIE,MI,46.250751666666666,-84.47238416666667,799.3,2,7203,1,95963ABA-9C9C-49D9-B9AA-0DE244A5F6D2
TVC,KTVC,Cherry Capital,TRAVERSE CITY,MI,44.74157861111111,-85.58187,623.9,2,7016,1,385284AD-B1A0-4669-84B7-5B8EF406BA99
DYT,KDYT,Sky Harbor,DULUTH,MN,46.722122500000005,-92.04438583333334,608.6,3,10000,1,74317928-2074-424B-B455-BD4A5E1504AF
INL,KINL,Falls Intl/Einarson Fld,INTERNATIONAL FALLS,MN,48.56558777777777,-93.40217916666667,1184.4,2,7400,1,476EF524-1232-4E1F-814E-112C3D8E0084
MML,KMML,Southwest Minnesota Rgnl Marshall/Ryan Fld,MARSHALL,MN,44.45172222222222,-95.82441666666666,1182.8,2,7221,1,4FF6B61D-E85B-45B7-BB17-1B18D5F267EA
DLH,KDLH,Duluth Intl,DULUTH,MN,46.84206975,-92.19323722222222,1427.8,2,10591,1,BAF3B64B-E81F-435B-BFC7-D672F1566BB5
MSP,KMSP,Minneapolis-St Paul Intl/Wold-Chamberlain,MINNEAPOLIS,MN,44.881972222222224,-93.22177777777777,841.8,4,11006,4,243F5FF5-D108-419F-BA14-7FFCFFCBB2B4
RST,KRST,Rochester Intl,ROCHESTER,MN,43.908277777777776,-92.50002777777777,1317.4,2,9034,2,8AC59680-E8AF-4E1B-B036-1B61E8A0BC3F
STC,KSTC,St Cloud Sky Central,ST CLOUD,MN,45.54622222222222,-94.05938888888889,1030.5,2,7500,1,7BC69C13-E48F-476B-985B-F4CA4419DF74
BBG,KBBG,Branson,BRANSON,MO,36.5320825,-93.20054444444445,1302.0,1,7140,1,1BE3DD9E-9304-47BF-8F86-5DF1550F3544
COU,KCOU,Columbia Rgnl,COLUMBIA,MO,38.81773555555556,-92.21779194444444,889.4,2,7401,1,40CE72D9-FB76-4165-B179-3FED699020E5
MCI,KMCI,Kansas City Intl,KANSAS CITY,MO,39.29761111111111,-94.71388888888889,1026.9,3,10801,3,6E268EEB-B635-4E6B-B2D4-38211AD6F5CA
STJ,KSTJ,Rosecrans Meml,ST JOSEPH,MO,39.77194444444444,-94.90970555555556,826.5,2,8061,1,907BD2FF-3211-4E43-B19A-90277F993C85
SGF,KSGF,Springfield-Branson Ntl,SPRINGFIELD,MO,37.24566138888889,-93.38862694444445,1268.3,2,8000,2,9E936144-BAB3-4269-87BB-8BB7B590AC7D
STL,KSTL,St Louis Lambert Intl,ST LOUIS,MO,38.748698222222224,-90.37002572222221,617.3,4,11020,4,2EC1BA36-6A52-4199-853F-7E506EFD729E
SUS,KSUS,Spirit of St Louis,ST LOUIS,MO,38.66211722222222,-90.65204666666668,463.3,2,7486,1,E25C6BD5-FA7F-407F-B53E-1D71C503364D
HSA,KHSA,Stennis Intl,BAY ST LOUIS,MS,30.36780472222222,-89.4546125,22.8,1,8498,1,E49B99A6-CC8C-4538-B43F-443DB539F7A6
GTR,KGTR,Golden Triangle Rgnl,COLUMBUS/W POINT/STARKVILLE,MS,33.448277777777776,-88.59138888888889,264.0,1,8003,1,E333F6FB-7BA4-400E-AAAA-E974A1F9797E
GNF,KGNF,Grenada Muni,GRENADA,MS,33.83244444444445,-89.79816666666666,207.9,2,7000,1,8B0BB110-7334-4AE0-8702-B46867CC7A25
GPT,KGPT,Gulfport-Biloxi Intl,GULFPORT,MS,30.407269166666666,-89.07009583333333,28.0,2,9002,1,5FFE897B-FF3B-45A7-8F6B-376B1544EEB0
JAN,KJAN,Jackson-Medgar Wiley Evers Intl,JACKSON,MS,32.311166666666665,-90.07588888888888,346.4,2,8500,2,B2658970-ED2A-43FE-8103-D100037868D8
MEI,KMEI,Key Fld,MERIDIAN,MS,32.33286166666667,-88.75157222222222,297.8,2,10003,1,1C3E3FDB-01E8-4440-9219-9D12523980A3
UTA,KUTA,Tunica Muni,TUNICA,MS,34.68505555555555,-90.34777777777778,194.4,1,8500,1,846C909F-F7E2-4FD7-B289-16D1C87103B7
TUP,KTUP,Tupelo Rgnl,TUPELO,MS,34.269,-88.76988888888889,346.5,1,7150,1,35825CA5-E178-410E-91C3-D41A7118DD67
GLH,KGLH,Greenville Mid-Delta,GREENVILLE,MS,33.48524694444445,-90.98448555555555,130.7,2,8001,2,DFC4CF20-64F7-40D5-B84B-39FCCDE5656C
IDL,KIDL,Indianola Muni,INDIANOLA,MS,33.48572222222222,-90.67888888888889,126.0,1,7004,1,5EDE8F3B-8E11-4CDD-BC8B-25B0D421D6D6
BZN,KBZN,Bozeman Yellowstone Intl,BOZEMAN,MT,45.777235777777776,-111.15026027777779,4473.4,4,8994,1,0388367E-FF85-4D18-901D-955971480D9A
BTM,KBTM,Bert Mooney,BUTTE,MT,45.95480555555556,-112.49747222222223,5550.5,2,9000,1,4020F414-2B83-489C-92DA-F6C54AEF23CF
4U9,,Dell Flight Strip,DELL,MT,44.73575,-112.71969444444444,6007.0,1,7000,1,9A8B5C3D-112A-40A2-BB32-B533CB3A59B3
HLN,KHLN,Helena Rgnl,HELENA,MT,46.606722222222224,-111.98327777777779,3877.3,4,9000,1,F69C6297-B07A-4178-AE29-21318FA8DAC3
GPI,KGPI,Glacier Park Intl,KALISPELL,MT,48.3105,-114.256,2976.8,2,9007,1,7CAE492D-82DD-4017-9F19-995A1DCBA336
MSO,KMSO,Missoula Montana,MISSOULA,MT,46.91630555555555,-114.09055555555555,3205.6,2,9501,1,144C2D8F-482A-4147-B02D-320B7A86E44D
BIL,KBIL,Billings Logan Intl,BILLINGS,MT,45.80784913888888,-108.54354355555556,3662.3,3,10518,1,60F5854F-1F03-4343-BAA1-F1AA188958F4
EKS,KEKS,Ennis Big Sky,ENNIS,MT,45.27572472222222,-111.64891555555556,5432.6,1,7600,1,BD034ACD-731C-4F25-9687-D96A45EBDFDE
GTF,KGTF,Great Falls Intl,GREAT FALLS,MT,47.48229927777778,-111.37027941666666,3680.0,2,10502,1,D4C2CCF9-7284-4D08-8746-7A3AF201C16A
WYS,KWYS,Yellowstone,WEST YELLOWSTONE,MT,44.68838888888889,-111.11763888888888,6649.0,1,8400,1,A842B95E-1884-4412-BF3A-1F65E95EFBB0
AVL,KAVL,Asheville Rgnl,ASHEVILLE,NC,35.43611305555555,-82.5420475,2163.9,1,8002,1,28AF7D41-2794-4AE6-9E69-8085345375A6
JQF,KJQF,Concord-Padgett Rgnl,CONCORD,NC,35.387770277777776,-80.70913250000001,704.2,2,7402,1,1CCC889B-D85F-4311-AB80-EEA33DF298DF
FAY,KFAY,Fayetteville Rgnl/Grannis Fld,FAYETTEVILLE,NC,34.99121111111111,-78.88027416666667,189.4,2,7709,1,E71FC8E9-D413-4B0E-AF6B-A74AAED8D211
CLT,KCLT,Charlotte/Douglas Intl,CHARLOTTE,NC,35.213186944444445,-80.95137916666667,747.9,3,10000,3,91CC8955-7A21-4843-9C70-CC0903339770
ECG,KECG,Elizabeth City CG Air Station/Rgnl,ELIZABETH CITY,NC,36.260575555555555,-76.17456722222222,10.6,6,7219,1,8BF1E254-61F3-43F6-8EA9-A12FFA877035
GSO,KGSO,Piedmont Triad Intl,GREENSBORO,NC,36.101326666666665,-79.94112277777778,925.5,3,10001,2,4DACDC1C-0729-4FD5-AFA4-213599F5BF4B
PGV,KPGV,Pitt-Greenville,GREENVILLE,NC,35.63569444444445,-77.38408333333334,26.4,2,7175,1,CABEA751-9419-42EA-A493-E7ECAFA80D87
OAJ,KOAJ,Albert J Ellis,JACKSONVILLE,NC,34.82916666666667,-77.61213888888888,92.9,1,7100,1,A3FC02D5-53D8-4C04-B0C5-8EB1CBFFF6A0
RDU,KRDU,Raleigh-Durham Intl,RALEIGH/DURHAM,NC,35.87763888888889,-78.78747222222222,435.2,3,10000,2,CB0BC5B9-0B40-44DE-96E3-5B8E2AEA35C4
ISO,KISO,Kinston Rgnl Jetport At Stallings Fld,KINSTON,NC,35.33143277777778,-77.60883,92.9,1,11498,1,45075F51-0D4D-41DC-BBF7-2F3C3D7B4A73
EQY,KEQY,Charlotte/Monroe Exec,MONROE,NC,35.01741611111111,-80.62205583333332,682.5,1,7001,1,438F5290-443D-42A4-BE6A-BE27BF650CDC
RWI,KRWI,Rocky Mount/Wilson Rgnl,ROCKY MOUNT,NC,35.856252777777776,-77.89193333333334,157.7,1,7099,1,BEB4F35A-FD37-4C2F-A781-45FF7CE628B3
SVH,KSVH,Statesville Rgnl,STATESVILLE,NC,35.76499666666667,-80.9539,967.8,1,7003,1,1D6F9F8E-FE5A-4980-90AF-04586D93CA4D
BIS,KBIS,Bismarck Muni,BISMARCK,ND,46.77273388888889,-100.7457375,1661.3,2,8794,1,90C23D07-36A9-4196-B627-4EBD8F67826D
FAR,KFAR,Hector Intl,FARGO,ND,46.92063888888889,-96.81575,901.3,3,9001,1,3783FEC6-6DCE-46B9-8DCB-1795EBABFDCE
ILM,KILM,Wilmington Intl,WILMINGTON,NC,34.27115138888889,-77.90289055555556,31.7,2,8016,2,90E70174-E7AD-4DC8-A068-C9FA5A4E6D4B
DIK,KDIK,Dickinson/Theodore Roosevelt Rgnl,DICKINSON,ND,46.80047361111111,-102.80443527777777,2592.1,2,7301,1,0799C5F4-4482-4CAC-B769-B80619C5A64C
GFK,KGFK,Grand Forks Intl,GRAND FORKS,ND,47.94786833333333,-97.17569166666667,845.1,16,7351,1,92E04D09-720A-421C-A20E-F85AF766A86A
AIA,KAIA,Alliance Muni,ALLIANCE,NE,42.05322222222222,-102.80375,3930.6,3,9203,1,D9A04EDE-7FC4-419C-B0B8-D897B7830B8B
GRI,KGRI,Central Nebraska Rgnl,GRAND ISLAND,NE,40.9675425,-98.30963888888888,1847.1,2,7002,1,E67E7E26-93AF-4A5E-A63C-BBC737C4C4DE
MOT,KMOT,Minot Intl,MINOT,ND,48.25763888888889,-101.27802777777778,1715.7,2,7700,1,C282BB8E-CCF0-463C-9714-BE49C4AA4406
EAR,KEAR,Kearney Rgnl,KEARNEY,NE,40.727040555555554,-99.00677,2131.8,2,7094,1,D7B85629-8916-4E56-AC18-B56E4C403D01
OMA,KOMA,Eppley Airfield,OMAHA,NE,41.30316666666666,-95.89405555555557,984.5,3,9502,3,DDD2EB95-A230-444C-AF19-9B376A957D60
MHT,KMHT,Manchester Boston Rgnl,MANCHESTER,NH,42.932805555555554,-71.43575,266.4,2,9250,2,EDF54FD4-D717-42B5-9DB9-2390ED549C57
LNK,KLNK,Lincoln,LINCOLN,NE,40.85089138888889,-96.75912111111111,1218.7,3,12901,2,AC38511B-EAE5-45DB-BCB0-651E8D162173
LBF,KLBF,North Platte Rgnl/Lee Bird Fld,NORTH PLATTE,NE,41.12621277777778,-100.68365305555555,2777.0,2,8001,1,01CB75CC-B41D-49FA-A256-9DD4B1663910
BFF,KBFF,Scottsbluff/Western Nebraska Rgnl/Wm  B Heilig Fld,SCOTTSBLUFF,NE,41.874027777777776,-103.59563888888889,3967.3,2,8279,2,14C947B4-8877-491F-9DB4-4023B1EB3F85
BLM,KBLM,Monmouth Exec,BELMAR/FARMINGDALE,NJ,40.18677777777778,-74.12455555555555,153.4,2,7345,1,E5171AC4-86C0-4404-9B1C-F665BD05266E
PSM,KPSM,Portsmouth Intl At Pease,PORTSMOUTH,NH,43.07794444444445,-70.82327777777778,100.4,1,11321,1,B1CFB765-7FEE-4106-B4D8-CA6BAE05D408
ACY,KACY,Atlantic City Intl,ATLANTIC CITY,NJ,39.45757583333334,-74.57715527777778,74.8,3,10001,1,42451455-24E9-4CBE-8DB7-3E9C6FDB98FD
EWR,KEWR,Newark Liberty Intl,NEWARK,NJ,40.692480555555555,-74.16868777777778,17.5,4,11000,2,6AB3CFCC-F6EE-4B71-A201-2DCA9BB7F2F1
ALM,KALM,Alamogordo-White Sands Rgnl,ALAMOGORDO,NM,32.83941666666667,-105.99113888888888,4199.9,3,9207,1,577128C1-A60F-4986-8584-A02415FAA5FC
DMN,KDMN,Deming Muni,DEMING,NM,32.262388888888886,-107.71900000000001,4314.0,2,8018,1,A763AAC3-3089-4E28-8B12-988F8DBD6D83
24N,,Jicarilla Apache Nation,DULCE,NM,36.828535,-106.8841913888889,7618.0,1,7500,1,FAF980CA-6E97-4A01-97E1-BB99335683B5
AEG,KAEG,Double Eagle Ii,ALBUQUERQUE,NM,35.144909444444444,-106.79517388888888,5837.4,2,7398,1,9E977B73-D2A7-46A7-84A1-9BE654B0D25F
ABQ,KABQ,Albuquerque Intl Sunport,ALBUQUERQUE,NM,35.03893155555556,-106.60826216666666,5354.9,3,13793,2,FC50BF53-167B-49DE-AF44-7D15FFC9E959
AXX,KAXX,Angel Fire,ANGEL FIRE,NM,36.42200027777778,-105.289905,8379.5,1,8900,1,D0CDBFA8-E457-4CAD-9AC1-797F989C56ED
CNM,KCNM,Cavern City Air Trml,CARLSBAD,NM,32.33744444444444,-104.26336111111111,3294.6,4,7854,1,88D7BF02-1748-4BCA-B3A9-5A59936484E8
CVN,KCVN,Clovis Rgnl,CLOVIS,NM,34.42659025,-103.07758002777777,4215.8,3,7200,1,B19FBFF1-118A-4AE3-9F37-221664CDEEE6
GUP,KGUP,Gallup Muni,GALLUP,NM,35.51105833333333,-108.78930944444444,6472.6,1,7312,1,EA4B31DD-BC44-4ECA-85BB-FC44F952E20A
GNT,KGNT,Grants-Milan Muni,GRANTS,NM,35.16727777777778,-107.90205555555556,6536.9,1,7172,1,1B616050-113D-42F8-8DCC-FAFE42F62E0C
HOB,KHOB,Lea County Rgnl,HOBBS,NM,32.68734944444444,-103.2175286111111,3660.7,3,8000,1,FD62A693-4701-49FE-B367-7457EAC09D9A
LRU,KLRU,Las Cruces Intl,LAS CRUCES,NM,32.28941388888889,-106.92196444444446,4456.9,3,7506,2,401F3F42-4C4F-497F-BF2A-27342E06D633
LVS,KLVS,Las Vegas Muni,LAS VEGAS,NM,35.654222222222224,-105.1423888888889,6877.2,2,8199,1,1665DA09-72D9-4F49-AA8A-455389939001
ROW,KROW,Roswell Air Center,ROSWELL,NM,33.2998775,-104.52940305555555,3671.0,4,13000,2,B7304B45-E436-49BD-A3FA-A8D4F3487728
SRR,KSRR,Sierra Blanca Rgnl,RUIDOSO,NM,33.46094444444445,-105.53013888888889,6813.8,2,8120,1,30DE14D4-2CD0-4E81-987A-4AAEEF6A3038
SAF,KSAF,Santa Fe Rgnl,SANTA FE,NM,35.617111111111114,-106.08941666666666,6348.7,4,8366,1,4F6D005D-CD34-42E8-B8F6-3CF416EADF92
SKX,KSKX,Taos Rgnl,TAOS,NM,36.45169444444445,-105.67308333333334,7094.6,2,8600,1,AEF75C43-F50D-4B8F-AD40-381034956BF9
TCS,KTCS,Truth Or Consequences Muni,TRUTH OR CONSEQUENCES,NM,33.23536111111111,-107.26988888888889,4861.9,5,7202,1,9E8B0EF6-59C1-4495-838D-68742B515C9F
TCC,KTCC,Tucumcari Muni,TUCUMCARI,NM,35.18277805555555,-103.60319444444444,4064.9,2,7104,1,87296E28-DBC5-4AB2-9499-A20635C6BA1E
EKO,KEKO,Elko Rgnl,ELKO,NV,40.82499861111111,-115.7913375,5139.8,2,7454,1,CE7419F1-AFB3-4846-893A-7F53ED9F5860
MEV,KMEV,Minden-Tahoe,MINDEN,NV,39.0005,-119.75111111111111,4723.6,3,7399,1,1A186260-910D-4497-A28B-D8E2E5E35E92
RTS,KRTS,Reno/Stead,RENO,NV,39.66817694444444,-119.87643963888888,5050.1,2,9000,2,8FD6AA27-0302-4BED-ACCB-A1ECB4029F9F
0E0,,Moriarty Muni,MORIARTY,NM,34.97816666666667,-106.00002777777777,6204.2,2,7702,1,ED17EC18-1B74-4218-84CE-1EA73DBAE066
RTN,KRTN,Raton Muni/Crews Fld,RATON,NM,36.74243916666667,-104.50172638888888,6352.4,2,7615,1,63089882-8CC3-4F5E-8A89-33790CEC77C0
DNA,KDNA,Dona Ana County Intl Jetport,SANTA TERESA,NM,31.880444444444446,-106.70325,4112.8,1,9550,1,ADB71C9F-C461-48DD-86FA-77D60A1CE6CF
